tosdr_document_name,ota_terms_type
user agreement,Terms of Service
firefly faq,Frequently Asked Questions
terms of service,Terms of Service
empower health services | privacy policy,Privacy Policy
terms and conditions / return policy,Terms of Service
privacy statement / cookie policy / disclaimers,Trackers Policy
ca privacy notice,Privacy Policy
indexer,no match
"planio, redmine, and open source",no match
client privacy policy,Privacy Policy
usage rules,Terms of Service
datenschutz (privacy policy),Privacy Policy
kommentarregeln,Community Guidelines
halloween pumpkin bomber jacket,no match
privacy notice,Privacy Policy
eve online - cookies,Trackers Policy
avaforce 100 mg,no match
do-not-sell my personal information notice,Privacy Policy
anti corruption policy,Corporate Social Responsibility
game rules,Terms of Service
"this service uses other services by google, who may track you.",Trackers Policy
dow jones cookie notice,Trackers Policy
dow jones privacy notice,Privacy Policy
tax policy,no match
privacy policy statement,Privacy Policy
takedown policy,Review Guidelines
contributor agreement,Terms of Service
cisco online privacy statement,Privacy Policy
amazon interest-based ads,Trackers Policy
data retention summary,Privacy Policy
terms of service and use,Terms of Service
amazon prime video terms of use,Terms of Service
privacy policy for bitdefender home solutions,Privacy Policy
subscriber agreement,Terms of Service
personal data notice for business contacts of the clients/partners,Privacy Policy
privacy policy for bitdefender business solutions,Privacy Policy
eve online - privacy policy,Privacy Policy
information about third-party code,Trackers Policy
merged into document 21 by user 6,Merged
legal,Legal Information
magnatune terms of use,Terms of Service
platform security,Privacy Policy
staples connect terms and conditions,Terms of Service
intellectual property,Copyright Claims Policy
terms of use & privacy policy,Privacy Policy
staples terms and conditions,Terms of Service
account security,Privacy Policy
privacy and security,Privacy Policy
do not sell notice for california residents,Privacy Policy
privacy policy faq,Privacy Policy
privacy topic location,Privacy Policy
legal info,Legal Information
gdpr compliance,Legal Information
legal intelectual property,Legal Information
mail service privacy policy,Privacy Policy
web services terms of service,Terms of Service
subprocessors,Data Processor Agreement
privacy and security policy,Privacy Policy
newsmixer,no match
"privacy policy, addendum for users in brazil",Privacy Policy
"privacy policy (february 14, 2019)",Privacy Policy
